Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang,Phonetic,Audio,CEFR
absolutely,"With no qualification, restriction, or limitation; totally",kesinlikle,She is absolutely certain.,adverb,"absolute, absolutism","completely, totally","partially, incompletely","absolutely right, absolutely certain",khác,en,/æb.səˈl(j)uːt.lɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/absolutely-us.mp3,B2
absorb,"Take in or soak up (energy, or a liquid or other substance) by chemical or physical action",emmek,The sponge absorbs water.,verb,"absorbs, absorbing, absorbed","soak up, take in","release, exude","absorb water, absorb information",thức ăn,en,/əbˈsɔːb/,https://api.dictionaryapi.dev/media/pronunciations/en/absorb-us.mp3,A2
abuse,Use (something) to bad effect or for a bad purpose; misuse,kötüye kullanmak,He was accused of abuse.,"noun, verb","abuses, abusing, abused","misuse, mistreat","use properly, care","substance abuse, abuse of power",khác,en,/əˈbjuːs/,https://api.dictionaryapi.dev/media/pronunciations/en/abuse-1-us.mp3,A2
academic,Relating to education and scholarship,akademik,She received academic awards.,"adjective, noun","academia, academically","educational, scholarly","nonacademic, unscholarly","academic year, academic achievement",trường học,en,/ˌækəˈdɛmɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/academic-us.mp3,B1
accent,"A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class",aksan,He spoke with a British accent.,"noun, verb","accents, accenting, accented","pronunciation, intonation",none,"British accent, strong accent",văn hóa,en,/ˈak.sənt/,https://api.dictionaryapi.dev/media/pronunciations/en/accent-1-uk.mp3,A2
accept,Consent to receive or undertake (something offered),kabul etmek,She accepted the job offer.,verb,"accepts, accepting, accepted","agree, receive","reject, refuse","accept an offer, accept responsibility",nghề nghiệp,en,/ækˈsɛpt/,https://api.dictionaryapi.dev/media/pronunciations/en/accept-uk.mp3,A2
acceptable,Able to be agreed on; suitable,kabul edilebilir,The proposal is acceptable.,adjective,"acceptably, acceptability","satisfactory, suitable","unacceptable, unsuitable","socially acceptable, acceptable behavior",khác,en,/æk.ˈsɛp.tə.bəl/,https://api.dictionaryapi.dev/media/pronunciations/en/acceptable-us.mp3,B2
access,A means of approaching or entering a place,erişim,She has access to the library.,"noun, verb","accesses, accessing, accessed","entry, admittance","exit, egress","internet access, access to information",trường học,en,/ˈæksɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/access-1-us.mp3,A2
accident,"An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury",kaza,She was injured in a car accident.,noun,"accidents, accidental","mishap, misfortune","intentional, deliberate","traffic accident, car accident",du lịch,en,/ˈæk.sə.dənt/,https://api.dictionaryapi.dev/media/pronunciations/en/accident-us.mp3,A2
accidental,"Happening by chance, unintentionally, or unexpectedly",tesadüfi,It was an accidental discovery.,"adjective, noun",accidentally,"unintentional, chance","intentional, deliberate","accidental damage, accidental discovery",luyện trí não,en,/ˌæk.sɪ.ˈdɛn.tl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/accidental-us.mp3,B2
accidentally,By chance; in a way that was not planned or intended,kazara,She accidentally spilled the milk.,adverb,"accident, accidental","unintentionally, by chance","deliberately, intentionally","accidentally discovered, accidentally spilled",luyện trí não,en,/ˌæksəˈdɛnt(ə)li/,https://api.dictionaryapi.dev/media/pronunciations/en/accidentally-us.mp3,C1
accommodation,"A room, group of rooms, or building in which someone may live or stay",konaklama,She found accommodation at a hotel.,noun,accommodations,"lodging, housing",homelessness,"student accommodation, temporary accommodation",du lịch,en,/ə.ˌkɒm.ə.ˈdeɪ.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/accommodation-uk.mp3,C1
accompany,Go somewhere with (someone) as a companion or escort,eşlik etmek,She will accompany him on the trip.,verb,"accompanies, accompanying, accompanied","escort, chaperone","desert, abandon","accompany on a trip, accompany to the event",du lịch,en,/ə.ˈkʌm.pə.ni/,https://api.dictionaryapi.dev/media/pronunciations/en/accompany-us.mp3,B2
according to,As stated by or in,göre,"According to the report, it will rain tomorrow.",preposition,accord,"as per, in agreement with","disagreeing, contrary to","according to plan, according to the law",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=according%20to&tl=en&client=tw-ob,C1
account,A report or description of an event or experience,hesap,She gave an account of the event.,"noun, verb","accounts, accounting, accounted","report, description","ignorance, neglect","bank account, user account",nghề nghiệp,en,/ə.ˈkaʊnt/,https://api.dictionaryapi.dev/media/pronunciations/en/account-us.mp3,B1
account for,To be the explanation or cause of something,hesap vermek,His injury accounts for his absence.,verb,"accounts for, accounting for, accounted for","explain, justify","misaccount, misexplain","account for expenses, account for the delay",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=account%20for&tl=en&client=tw-ob,B2
accurate,Correct in all details; exact,doğru,She provided an accurate report.,adjective,"accuracy, accurately","correct, precise","inaccurate, incorrect","accurate information, accurate measurement",nghề nghiệp,en,/ˈæk.jə.ɹɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/accurate-us.mp3,B2
accurately,In a way that is correct in all details; exactly,doğru bir şekilde,The data was accurately recorded.,adverb,accurate,"exactly, precisely","inaccurately, imprecisely","recorded accurately, measured accurately",trường học,en,/ˈæk.jə.ɹɪt.li/,https://translate.google.com/translate_tts?ie=UTF-8&q=accurately&tl=en&client=tw-ob,B2
accuse,Charge (someone) with an offense or crime,suçlamak,He was accused of theft.,verb,"accuses, accusing, accused","charge, indict","absolve, exonerate","accuse of a crime, accuse falsely",nghề nghiệp,en,/əˈkjuːz/,https://api.dictionaryapi.dev/media/pronunciations/en/accuse-us.mp3,A2
achieve,"Successfully reach (a desired objective or result) by effort, skill, or courage",başarmak,She achieved her goal.,verb,"achieves, achieving, achieved","succeed, accomplish","fail, forfeit","achieve success, achieve a goal",luyện trí não,en,/əˈtʃiːv/,https://api.dictionaryapi.dev/media/pronunciations/en/achieve-us.mp3,B1
achievement,"A thing done successfully, typically by effort, courage, or skill",başarı,She celebrated her achievement.,noun,achievements,"accomplishment, success","failure, defeat","great achievement, remarkable achievement",luyện trí não,en,/əˈtʃiːvmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/achievement-us.mp3,B2
acid,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind",asit,The acid burned his skin.,"noun, adjective","acids, acidic","chemical, corrosive","alkaline, base","acid rain, stomach acid",thức ăn,en,/ˈæs.ɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/acid-us.mp3,A1
acknowledge,Accept or admit the existence or truth of,kabul etmek,She acknowledged the problem.,verb,"acknowledges, acknowledging, acknowledged","admit, accept","deny, reject","acknowledge a problem, acknowledge an error",luyện trí não,en,/əkˈnɒ.lɪdʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/acknowledge-us.mp3,B2
a couple,Two people or things of the same sort considered together,bir çift,They are a happy couple.,noun,couples,"pair, duo","individual, single","a couple of friends, a couple of hours",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=a%20couple&tl=en&client=tw-ob,B1
acquire,Buy or obtain (an asset or object) for oneself,edinmek,She acquired new skills.,verb,"acquires, acquiring, acquired","obtain, get","lose, forfeit","acquire knowledge, acquire skills",nghề nghiệp,en,/əˈkwaɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/acquire-us.mp3,B2
across,"From one side to the other of (a place, area, etc.)",karşısında,She walked across the street.,"preposition, adverb",none,"over, through",none,"walk across, travel across",khác,en,/əˈkɹɑs/,https://api.dictionaryapi.dev/media/pronunciations/en/across-us.mp3,A1
act,Take action; do something,hareket,She decided to act.,"verb, noun","acts, acting, acted","perform, do","cease, stop","act quickly, act on",khác,en,/æk/,https://api.dictionaryapi.dev/media/pronunciations/en/act-us.mp3,A1
action,"The fact or process of doing something, typically to achieve an aim",eylem,She took action to improve her grades.,noun,actions,"deed, operation","inaction, inactivity","take action, action plan",luyện trí não,en,/ˈæk.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/action-us.mp3,B1
active,Engaging or ready to engage in physically energetic pursuits,aktif,She is an active member of the community.,adjective,"actively, activity","energetic, lively","inactive, lazy","active lifestyle, active role",trường học,en,/ˈæk.tɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/active-us.mp3,A2
actively,In an active manner; energetically,aktif olarak,She is actively involved in the project.,adverb,active,"energetically, vigorously","inactively, lazily","actively participate, actively engage",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=actively&tl=en&client=tw-ob,B1
activity,The condition in which things are happening or being done,aktivite,She enjoys outdoor activities.,noun,activities,"action, pursuit","inactivity, idleness","recreational activity, physical activity",khác,en,/ækˈtɪ.və.ti/,https://api.dictionaryapi.dev/media/pronunciations/en/activity-us.mp3,A2
actor,"A person whose profession is acting on the stage, in movies, or on television",oyuncu,He is a famous actor.,noun,actors,"performer, thespian",none,"leading actor, supporting actor",nghề nghiệp,en,/ˈæk.tə/,https://api.dictionaryapi.dev/media/pronunciations/en/actor-uk.mp3,A2
actress,A female actor,kadın oyuncu,She won an award for best actress.,noun,actresses,female actor,male actor,"leading actress, supporting actress",khác,en,/ˈak.tɹəs/,https://translate.google.com/translate_tts?ie=UTF-8&q=actress&tl=en&client=tw-ob,B1
actual,Existing in fact; real,gerçek,This is the actual cost.,adjective,actually,"real, factual","fake, false","actual cost, actual fact",nghề nghiệp,en,/ˈak(t)ʃj(ʊ)əl/,https://api.dictionaryapi.dev/media/pronunciations/en/actual-us.mp3,A2
actually,As the truth or facts of a situation; really,aslında,She actually likes the idea.,adverb,actual,"really, truly","supposedly, seemingly","actually happened, actually true",luyện trí não,en,/-ɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/actually-us.mp3,B1
ad,An advertisement,reklam,She saw an ad in the newspaper.,noun,ads,"advertisement, commercial",none,"place an ad, run an ad",khác,en,/æd/,https://api.dictionaryapi.dev/media/pronunciations/en/ad-us.mp3,A1
adapt,Make (something) suitable for a new use or purpose; modify,uyarlamak,She adapted the recipe for her diet.,verb,"adapts, adapting, adapted","modify, adjust","neglect, reject","adapt to change, adapt the recipe",thức ăn,en,/əˈdæpt/,https://api.dictionaryapi.dev/media/pronunciations/en/adapt-us.mp3,B2
add,"Join (something) to something else so as to increase the size, number, or amount",eklemek,She added sugar to the tea.,verb,"adds, adding, added","append, attach","subtract, remove","add sugar, add up",thức ăn,en,/æd/,https://api.dictionaryapi.dev/media/pronunciations/en/add-us.mp3,A1
addition,The action or process of adding something to something else,ilave,"In addition to the main course, there were desserts.",noun,additions,"insertion, inclusion","subtraction, removal","in addition, addition to",trường học,en,/æˈdɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/addition-us.mp3,B1
additional,"Added, extra, or supplementary to what is already present or available",ekstra,She requested additional information.,adjective,additionally,"extra, supplementary","basic, primary","additional resources, additional cost",khác,en,/əˈdɪʃənəl/,https://api.dictionaryapi.dev/media/pronunciations/en/additional-us.mp3,B2
address,The particulars of the place where someone lives or an organization is situated,adres,She wrote her address on the form.,"noun, verb","addresses, addressing, addressed","location, place",none,"home address, email address",khác,en,/æˈdɹɛs/,https://api.dictionaryapi.dev/media/pronunciations/en/address-uk.mp3,A2
add up,To calculate the total of two or more numbers or amounts,toplamak,She added up the total cost.,phrasal verb,"adds up, adding up, added up","total, sum","subtract, take away","add up the bill, add up the scores",nghề nghiệp,en,,https://api.dictionaryapi.dev/media/pronunciations/en/add%20up-au.mp3,A2
add up to,To result in a total amount,toplamak,The expenses add up to a large sum.,phrasal verb,"adds up to, adding up to, added up to","amount to, come to","reduce, decrease","add up to a total, add up to a large amount",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=add%20up%20to&tl=en&client=tw-ob,B2
adequate,Satisfactory or acceptable in quality or quantity,yeterli,She has adequate resources.,adjective,adequately,"sufficient, satisfactory","inadequate, insufficient","adequate resources, adequate preparation",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=adequate&tl=en&client=tw-ob,B2
adequately,In a satisfactory way,yeterince,The task was adequately completed.,adverb,adequate,"sufficiently, suitably","insufficiently, poorly","adequately prepared, adequately equipped",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=adequately&tl=en&client=tw-ob,B2
adjust,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",ayarlamak,She adjusted the mirror.,verb,"adjusts, adjusting, adjusted","modify, adapt","ignore, neglect","adjust the settings, adjust the position",luyện trí não,en,/əˈdʒʌst/,https://translate.google.com/translate_tts?ie=UTF-8&q=adjust&tl=en&client=tw-ob,A2
admiration,Respect and warm approval,hayranlık,She felt admiration for the artist.,noun,admirations,"esteem, respect","disapproval, contempt","deep admiration, great admiration",nghề nghiệp,en,/ˌæd.mɚˈeɪʃ.ən/,https://api.dictionaryapi.dev/media/pronunciations/en/admiration-us.mp3,B2
admire,"Regard (an object, quality, or person) with respect or warm approval",hayran olmak,She admires her teacher.,verb,"admires, admiring, admired","respect, appreciate","despise, scorn","admire greatly, admire deeply",nghề nghiệp,en,/ədˈmaɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/admire-us.mp3,A2
admit,"Confess to be true or to be the case, typically with reluctance",kabul etmek,She admitted her mistake.,verb,"admits, admitting, admitted","confess, acknowledge","deny, reject","admit a mistake, admit to guilt",khác,en,/ədˈmɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/admit-us.mp3,A2
adopt,Legally take (another's child) and bring it up as one's own,evlat edinmek,They adopted a child.,verb,"adopts, adopting, adopted","take in, foster","abandon, reject",none,khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=adopt&tl=en&client=tw-ob,B2
adult,A person who is fully grown or developed,yetişkin,She is an adult.,"noun, adjective",adults,"grown-up, mature","child, juvenile","young adult, responsible adult",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=adult&tl=en&client=tw-ob,A2
advance,"Move forward, typically in a purposeful way",ilerlemek,They advanced towards the goal.,"verb, noun, adjective","advances, advancing, advanced","progress, proceed","retreat, withdraw","advance in career, advance forward",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advance&tl=en&client=tw-ob,B1
advanced,Far on or ahead in development or progress,gelişmiş,She is in an advanced class.,adjective,advance,"sophisticated, developed","basic, simple","advanced technology, advanced level",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advanced&tl=en&client=tw-ob,B1
advantage,A condition or circumstance that puts one in a favorable or superior position,avantaj,She has an advantage in the competition.,"noun, verb","advantages, advantaging, advantaged","benefit, edge","disadvantage, drawback","competitive advantage, strategic advantage",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advantage&tl=en&client=tw-ob,B1
adventure,"An unusual and exciting, typically hazardous, experience or activity",macera,They went on an adventure.,"noun, verb","adventures, adventuring, adventured","escapade, journey","routine, safety","adventure travel, adventure story",du lịch,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=adventure&tl=en&client=tw-ob,B2
advert,"A notice or announcement in a public medium promoting a product, service, or event",ilan,She saw an advert for a new car.,"noun, verb",adverts,"announcement, notice",none,"place an advert, see an advert",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advert&tl=en&client=tw-ob,A2
advertise,"Describe or draw attention to (a product, service, or event) in a public medium to promote sales or attendance",reklam yapmak,They advertised the event on TV.,verb,"advertises, advertising, advertised","promote, publicize","hide, conceal","advertise a product, advertise widely",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advertise&tl=en&client=tw-ob,B2
advertisement,"A notice or announcement in a public medium promoting a product, service, or event",reklam,The advertisement was very effective.,noun,advertisements,"ad, advert",none,"effective advertisement, newspaper advertisement",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advertisement&tl=en&client=tw-ob,C1
advertising,The activity or profession of producing advertisements for commercial products or services,reklamcılık,She works in advertising.,noun,advertisings,"marketing, promotion",none,"digital advertising, advertising campaign",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advertising&tl=en&client=tw-ob,B2
advice,Guidance or recommendations offered with regard to prudent future action,tavsiye,She gave good advice.,noun,advices,"guidance, counsel","misguidance, misinformation","seek advice, give advice",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advice&tl=en&client=tw-ob,B1
advise,Offer suggestions about the best course of action to someone,tavsiye etmek,She advised him to rest.,verb,"advises, advising, advised","recommend, counsel","misadvise, misguide","advise on, advise against",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=advise&tl=en&client=tw-ob,A2
affair,An event or sequence of events of a specified kind or that has previously been referred to,olay,It was a private affair.,noun,affairs,"event, incident",none,"family affair, love affair",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=affair&tl=en&client=tw-ob,A2
affect,Have an effect on; make a difference to,etkilemek,The weather affects my mood.,verb,"affects, affecting, affected","influence, impact",none,"affect significantly, affect deeply",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=affect&tl=en&client=tw-ob,B1
affection,A gentle feeling of fondness or liking,sevgi,She has deep affection for her pet.,noun,affections,"fondness, love","hatred, dislike","show affection, deep affection",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=affection&tl=en&client=tw-ob,B2
afford,Have enough money to pay for,karşılayabilmek,They can't afford a new car.,verb,"affords, affording, afforded","manage, bear","forbid, deny","can't afford, afford the cost",du lịch,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=afford&tl=en&client=tw-ob,B1
afraid,Feeling fear or anxiety; frightened,korkmuş,She is afraid of spiders.,adjective,afraidly,"scared, fearful","brave, fearless","afraid of the dark, afraid to go",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=afraid&tl=en&client=tw-ob,A2
after,In the time following (an event or another period of time),sonra,We can discuss this after lunch.,"preposition, conjunction, adverb",afters,"following, subsequent","before, prior","after a while, after the event",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=after&tl=en&client=tw-ob,A1
afternoon,The time from noon or lunchtime to evening,öğleden sonra,They met in the afternoon.,noun,afternoons,"lunchtime, midday","morning, night","in the afternoon, late afternoon",thức ăn,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=afternoon&tl=en&client=tw-ob,A2
afterwards,At a later or future time,sonra,"She went shopping and afterwards, she relaxed.",adverb,afterwards,"later, subsequently","before, earlier","soon afterwards, shortly afterwards",khác,en,/ˈɑːftə.wədz/,https://api.dictionaryapi.dev/media/pronunciations/en/afterwards-us.mp3,B2
again,Another time; once more,yine,She sang the song again.,adverb,again,"repeatedly, once more","never, once","try again, once again",khác,en,/əˈɡeɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/again-uk.mp3,A1
against,In opposition to,karşı,She stood against the wall.,preposition,none,"opposed to, contrary to","for, supporting","against the law, fight against",khác,en,/əˈɡeɪnst/,https://api.dictionaryapi.dev/media/pronunciations/en/against-us.mp3,B1
age,The length of time that a person has lived or a thing has existed,yaş,She is 30 years of age.,noun,ages,"years, duration","youth, infancy","childhood age, age group",khác,en,/eɪd͡ʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/age-us.mp3,A1
aged,Having lived for a specified length of time; old,yaşlı,The aged man walked slowly.,adjective,"age, aging","elderly, old","young, youthful","aged care, aged 10",khác,en,/eɪdʒd/,https://api.dictionaryapi.dev/media/pronunciations/en/aged-uk.mp3,A1
agency,A business or organization providing a particular service,ajans,She works at an advertising agency.,noun,agencies,"office, bureau","individual, freelancer","travel agency, government agency",nghề nghiệp,en,/ˈeɪ.dʒən.si/,https://api.dictionaryapi.dev/media/pronunciations/en/agency-us.mp3,A2
agent,A person who acts on behalf of another person or group,ajan,He is a secret agent.,noun,agents,"representative, operative","principal, client","real estate agent, secret agent",khác,en,/ˈeɪ.dʒənt/,https://api.dictionaryapi.dev/media/pronunciations/en/agent-us.mp3,A2
aggressive,Ready or likely to attack or confront; characterized by or resulting from aggression,agresif,He was aggressive during the argument.,adjective,aggressively,"hostile, belligerent","passive, peaceful","aggressive behavior, aggressive strategy",trường học,en,/əˈɡɹɛs.ɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/aggressive-us.mp3,B2
ago,Before the present; earlier,önce,It happened a long time ago.,adverb,none,"previously, earlier","later, future","years ago, long ago",khác,en,/əˈɡəʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/ago-us.mp3,A1
agree,Have the same opinion about something; concur,katılmak,I agree with your opinion.,verb,"agrees, agreeing, agreed","concur, assent","disagree, differ","agree on, agree with",luyện trí não,en,/əˈɡɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/agree-us.mp3,B1
agreement,A negotiated and typically legally binding arrangement between parties,anlaşma,They signed the agreement.,noun,agreements,"contract, deal","disagreement, dispute","come to an agreement, sign an agreement",nghề nghiệp,en,/əˈɡɹiːmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/agreement-us.mp3,B2
ahead,In or toward the front; in advance,önünde,She looked ahead and saw the finish line.,adverb,ahead,"forward, in front","behind, back","look ahead, plan ahead",khác,en,/əˈhɛd/,https://api.dictionaryapi.dev/media/pronunciations/en/ahead-us.mp3,A2
aid,"Help, typically of a practical nature",yardım,They provided aid to the refugees.,"noun, verb","aids, aiding, aided","assistance, help","hindrance, obstruction","financial aid, humanitarian aid",khác,en,/eɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/aid-us.mp3,A1
aim,Point or direct (a weapon or camera) at a target,nişan almak,He aimed at the target.,"verb, noun","aims, aiming, aimed","target, goal","neglect, ignore","aim high, aim at",khác,en,/eɪm/,https://api.dictionaryapi.dev/media/pronunciations/en/aim-us.mp3,B1
air,"The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen",hava,The air is fresh in the mountains.,noun,airs,"atmosphere, breeze",none,"fresh air, air quality",du lịch,en,/ˈɛə/,https://api.dictionaryapi.dev/media/pronunciations/en/air-uk.mp3,A1
aircraft,A vehicle that is able to fly by gaining support from the air,uçak,The aircraft took off smoothly.,noun,aircrafts,"plane, jet",none,"military aircraft, passenger aircraft",khác,en,/ɛə.kɹɑːft/,https://api.dictionaryapi.dev/media/pronunciations/en/aircraft-us.mp3,B1
airport,"A complex of runways and buildings for the takeoff, landing, and maintenance of civil aircraft",havaalanı,She waited at the airport.,noun,airports,"airfield, aerodrome",none,"international airport, busy airport",du lịch,en,/ˈɛə.pɔːt/,https://api.dictionaryapi.dev/media/pronunciations/en/airport-uk.mp3,A2
alarm,An anxious awareness of danger,alarm,She felt a sense of alarm.,"noun, verb","alarms, alarming, alarmed","warning, alert","calm, composure","set off the alarm, raise the alarm",luyện trí não,en,/əˈlɑːm/,https://api.dictionaryapi.dev/media/pronunciations/en/alarm-us.mp3,A2
alarmed,Experiencing a sudden sense of danger,alarma geçmiş,He was alarmed by the news.,adjective,alarmed,"frightened, scared","unconcerned, calm","feel alarmed, become alarmed",khác,en,/əˈlɑːmd/,https://api.dictionaryapi.dev/media/pronunciations/en/alarmed-us.mp3,B1
alarming,Worrying or disturbing,alarma geçiren,The situation is alarming.,adjective,alarmingly,"disturbing, frightening","reassuring, comforting","alarming rate, alarming situation",khác,en,/ə.ˈlɑːm.ɪŋ/,https://translate.google.com/translate_tts?ie=UTF-8&q=alarming&tl=en&client=tw-ob,B1
alcohol,"A colorless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits, and other drinks",alkol,He doesn't drink alcohol.,noun,alcohols,"ethanol, drink",none,"consume alcohol, alcohol consumption",thức ăn,en,/ˈæl.kə.hɒl/,https://api.dictionaryapi.dev/media/pronunciations/en/alcohol-uk.mp3,B1
alcoholic,Containing or relating to alcoholic liquor,alkollü,He is an alcoholic.,"adjective, noun",alcoholics,"inebriate, lush",non-alcoholic,"alcoholic drinks, alcoholic beverages",thức ăn,en,/ˌælkəˈhɒlɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/alcoholic-us.mp3,B2
alive,"Living, not dead",canlı,The patient is still alive.,adjective,alive,"living, breathing","dead, lifeless","stay alive, keep alive",khác,en,/əˈlaɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/alive-uk.mp3,A2
all,Used to refer to the whole quantity or extent of a particular group or thing,hepsi,All the students passed the exam.,"determiner, pronoun, adverb",allness,"every, entire","none, nothing","all of, at all",trường học,en,/ɔːl/,https://api.dictionaryapi.dev/media/pronunciations/en/all-us.mp3,A1
allied,Joined by or relating to members of an alliance,müttefik,The allied forces launched an attack.,adjective,allies,"united, affiliated","enemy, adversary","allied forces, allied nations",khác,en,/əˈlaɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/allied-uk.mp3,A2
allow,Give (someone) permission to do something,izin vermek,She allowed him to leave.,verb,"allows, allowing, allowed","permit, let","forbid, prevent","allow time, allow access",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=allow&tl=en&client=tw-ob,B1
