Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
accurately,In a way that is correct in all details; exactly,doğru bir şekilde,The data was accurately recorded.,adverb,accurate,"exactly, precisely","inaccurately, imprecisely","recorded accurately, measured accurately",trường học,en
accuse,Charge (someone) with an offense or crime,suçlamak,He was accused of theft.,verb,"accuses, accusing, accused","charge, indict","absolve, exonerate","accuse of a crime, accuse falsely",nghề nghiệp,en
achieve,"Successfully reach (a desired objective or result) by effort, skill, or courage",başarmak,She achieved her goal.,verb,"achieves, achieving, achieved","succeed, accomplish","fail, forfeit","achieve success, achieve a goal",luyện trí não,en
achievement,"A thing done successfully, typically by effort, courage, or skill",başarı,She celebrated her achievement.,noun,achievements,"accomplishment, success","failure, defeat","great achievement, remarkable achievement",luyện trí não,en
acid,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind",asit,The acid burned his skin.,"noun, adjective","acids, acidic","chemical, corrosive","alkaline, base","acid rain, stomach acid",thức ăn,en
acknowledge,Accept or admit the existence or truth of,kabul etmek,She acknowledged the problem.,verb,"acknowledges, acknowledging, acknowledged","admit, accept","deny, reject","acknowledge a problem, acknowledge an error",luyện trí não,en
a couple,Two people or things of the same sort considered together,bir çift,They are a happy couple.,noun,couples,"pair, duo","individual, single","a couple of friends, a couple of hours",khác,en
acquire,Buy or obtain (an asset or object) for oneself,edinmek,She acquired new skills.,verb,"acquires, acquiring, acquired","obtain, get","lose, forfeit","acquire knowledge, acquire skills",nghề nghiệp,en
across,"From one side to the other of (a place, area, etc.)",karşısında,She walked across the street.,"preposition, adverb",none,"over, through",none,"walk across, travel across",khác,en
act,Take action; do something,hareket,She decided to act.,"verb, noun","acts, acting, acted","perform, do","cease, stop","act quickly, act on",khác,en
action,"The fact or process of doing something, typically to achieve an aim",eylem,She took action to improve her grades.,noun,actions,"deed, operation","inaction, inactivity","take action, action plan",luyện trí não,en
active,Engaging or ready to engage in physically energetic pursuits,aktif,She is an active member of the community.,adjective,"actively, activity","energetic, lively","inactive, lazy","active lifestyle, active role",trường học,en
actively,In an active manner; energetically,aktif olarak,She is actively involved in the project.,adverb,active,"energetically, vigorously","inactively, lazily","actively participate, actively engage",nghề nghiệp,en
activity,The condition in which things are happening or being done,aktivite,She enjoys outdoor activities.,noun,activities,"action, pursuit","inactivity, idleness","recreational activity, physical activity",khác,en
actor,"A person whose profession is acting on the stage, in movies, or on television",oyuncu,He is a famous actor.,noun,actors,"performer, thespian",none,"leading actor, supporting actor",nghề nghiệp,en
actress,A female actor,kadın oyuncu,She won an award for best actress.,noun,actresses,female actor,male actor,"leading actress, supporting actress",khác,en
actual,Existing in fact; real,gerçek,This is the actual cost.,adjective,actually,"real, factual","fake, false","actual cost, actual fact",nghề nghiệp,en
actually,As the truth or facts of a situation; really,aslında,She actually likes the idea.,adverb,actual,"really, truly","supposedly, seemingly","actually happened, actually true",luyện trí não,en
ad,An advertisement,reklam,She saw an ad in the newspaper.,noun,ads,"advertisement, commercial",none,"place an ad, run an ad",khác,en
adapt,Make (something) suitable for a new use or purpose; modify,uyarlamak,She adapted the recipe for her diet.,verb,"adapts, adapting, adapted","modify, adjust","neglect, reject","adapt to change, adapt the recipe",thức ăn,en
add,"Join (something) to something else so as to increase the size, number, or amount",eklemek,She added sugar to the tea.,verb,"adds, adding, added","append, attach","subtract, remove","add sugar, add up",thức ăn,en
addition,The action or process of adding something to something else,ilave,"In addition to the main course, there were desserts.",noun,additions,"insertion, inclusion","subtraction, removal","in addition, addition to",trường học,en
additional,"Added, extra, or supplementary to what is already present or available",ekstra,She requested additional information.,adjective,additionally,"extra, supplementary","basic, primary","additional resources, additional cost",khác,en
address,The particulars of the place where someone lives or an organization is situated,adres,She wrote her address on the form.,"noun, verb","addresses, addressing, addressed","location, place",none,"home address, email address",khác,en
add up,To calculate the total of two or more numbers or amounts,toplamak,She added up the total cost.,phrasal verb,"adds up, adding up, added up","total, sum","subtract, take away","add up the bill, add up the scores",nghề nghiệp,en
add up to,To result in a total amount,toplamak,The expenses add up to a large sum.,phrasal verb,"adds up to, adding up to, added up to","amount to, come to","reduce, decrease","add up to a total, add up to a large amount",nghề nghiệp,en
adequate,Satisfactory or acceptable in quality or quantity,yeterli,She has adequate resources.,adjective,adequately,"sufficient, satisfactory","inadequate, insufficient","adequate resources, adequate preparation",khác,en
adequately,In a satisfactory way,yeterince,The task was adequately completed.,adverb,adequate,"sufficiently, suitably","insufficiently, poorly","adequately prepared, adequately equipped",nghề nghiệp,en
adjust,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",ayarlamak,She adjusted the mirror.,verb,"adjusts, adjusting, adjusted","modify, adapt","ignore, neglect","adjust the settings, adjust the position",luyện trí não,en
admiration,Respect and warm approval,hayranlık,She felt admiration for the artist.,noun,admirations,"esteem, respect","disapproval, contempt","deep admiration, great admiration",nghề nghiệp,en
admire,"Regard (an object, quality, or person) with respect or warm approval",hayran olmak,She admires her teacher.,verb,"admires, admiring, admired","respect, appreciate","despise, scorn","admire greatly, admire deeply",nghề nghiệp,en
admit,"Confess to be true or to be the case, typically with reluctance",kabul etmek,She admitted her mistake.,verb,"admits, admitting, admitted","confess, acknowledge","deny, reject","admit a mistake, admit to guilt",khác,en
adopt,Legally take (another's child) and bring it up as one's own,evlat edinmek,They adopted a child.,verb,"adopts, adopting, adopted","take in, foster","abandon, reject",none,khác,en
adult,A person who is fully grown or developed,yetişkin,She is an adult.,"noun, adjective",adults,"grown-up, mature","child, juvenile","young adult, responsible adult",luyện trí não,en
advance,"Move forward, typically in a purposeful way",ilerlemek,They advanced towards the goal.,"verb, noun, adjective","advances, advancing, advanced","progress, proceed","retreat, withdraw","advance in career, advance forward",luyện trí não,en
advanced,Far on or ahead in development or progress,gelişmiş,She is in an advanced class.,adjective,advance,"sophisticated, developed","basic, simple","advanced technology, advanced level",luyện trí não,en
advantage,A condition or circumstance that puts one in a favorable or superior position,avantaj,She has an advantage in the competition.,"noun, verb","advantages, advantaging, advantaged","benefit, edge","disadvantage, drawback","competitive advantage, strategic advantage",khác,en
adventure,"An unusual and exciting, typically hazardous, experience or activity",macera,They went on an adventure.,"noun, verb","adventures, adventuring, adventured","escapade, journey","routine, safety","adventure travel, adventure story",du lịch,en
advert,"A notice or announcement in a public medium promoting a product, service, or event",ilan,She saw an advert for a new car.,"noun, verb",adverts,"announcement, notice",none,"place an advert, see an advert",nghề nghiệp,en
advertise,"Describe or draw attention to (a product, service, or event) in a public medium to promote sales or attendance",reklam yapmak,They advertised the event on TV.,verb,"advertises, advertising, advertised","promote, publicize","hide, conceal","advertise a product, advertise widely",nghề nghiệp,en
advertisement,"A notice or announcement in a public medium promoting a product, service, or event",reklam,The advertisement was very effective.,noun,advertisements,"ad, advert",none,"effective advertisement, newspaper advertisement",nghề nghiệp,en
advertising,The activity or profession of producing advertisements for commercial products or services,reklamcılık,She works in advertising.,noun,advertisings,"marketing, promotion",none,"digital advertising, advertising campaign",nghề nghiệp,en
advice,Guidance or recommendations offered with regard to prudent future action,tavsiye,She gave good advice.,noun,advices,"guidance, counsel","misguidance, misinformation","seek advice, give advice",khác,en
advise,Offer suggestions about the best course of action to someone,tavsiye etmek,She advised him to rest.,verb,"advises, advising, advised","recommend, counsel","misadvise, misguide","advise on, advise against",trường học,en
affair,An event or sequence of events of a specified kind or that has previously been referred to,olay,It was a private affair.,noun,affairs,"event, incident",none,"family affair, love affair",khác,en
affect,Have an effect on; make a difference to,etkilemek,The weather affects my mood.,verb,"affects, affecting, affected","influence, impact",none,"affect significantly, affect deeply",khác,en
affection,A gentle feeling of fondness or liking,sevgi,She has deep affection for her pet.,noun,affections,"fondness, love","hatred, dislike","show affection, deep affection",nghề nghiệp,en
afford,Have enough money to pay for,karşılayabilmek,They can't afford a new car.,verb,"affords, affording, afforded","manage, bear","forbid, deny","can't afford, afford the cost",du lịch,en
afraid,Feeling fear or anxiety; frightened,korkmuş,She is afraid of spiders.,adjective,afraidly,"scared, fearful","brave, fearless","afraid of the dark, afraid to go",nghề nghiệp,en
after,In the time following (an event or another period of time),sonra,We can discuss this after lunch.,"preposition, conjunction, adverb",afters,"following, subsequent","before, prior","after a while, after the event",luyện trí não,en
afternoon,The time from noon or lunchtime to evening,öğleden sonra,They met in the afternoon.,noun,afternoons,"lunchtime, midday","morning, night","in the afternoon, late afternoon",thức ăn,en
afterwards,At a later or future time,sonra,"She went shopping and afterwards, she relaxed.",adverb,afterwards,"later, subsequently","before, earlier","soon afterwards, shortly afterwards",khác,en
again,Another time; once more,yine,She sang the song again.,adverb,again,"repeatedly, once more","never, once","try again, once again",khác,en
against,In opposition to,karşı,She stood against the wall.,preposition,none,"opposed to, contrary to","for, supporting","against the law, fight against",khác,en
age,The length of time that a person has lived or a thing has existed,yaş,She is 30 years of age.,noun,ages,"years, duration","youth, infancy","childhood age, age group",khác,en
aged,Having lived for a specified length of time; old,yaşlı,The aged man walked slowly.,adjective,"age, aging","elderly, old","young, youthful","aged care, aged 10",khác,en
agency,A business or organization providing a particular service,ajans,She works at an advertising agency.,noun,agencies,"office, bureau","individual, freelancer","travel agency, government agency",nghề nghiệp,en
agent,A person who acts on behalf of another person or group,ajan,He is a secret agent.,noun,agents,"representative, operative","principal, client","real estate agent, secret agent",khác,en
aggressive,Ready or likely to attack or confront; characterized by or resulting from aggression,agresif,He was aggressive during the argument.,adjective,aggressively,"hostile, belligerent","passive, peaceful","aggressive behavior, aggressive strategy",trường học,en
ago,Before the present; earlier,önce,It happened a long time ago.,adverb,none,"previously, earlier","later, future","years ago, long ago",khác,en
agree,Have the same opinion about something; concur,katılmak,I agree with your opinion.,verb,"agrees, agreeing, agreed","concur, assent","disagree, differ","agree on, agree with",luyện trí não,en
agreement,A negotiated and typically legally binding arrangement between parties,anlaşma,They signed the agreement.,noun,agreements,"contract, deal","disagreement, dispute","come to an agreement, sign an agreement",nghề nghiệp,en
ahead,In or toward the front; in advance,önünde,She looked ahead and saw the finish line.,adverb,ahead,"forward, in front","behind, back","look ahead, plan ahead",khác,en
aid,"Help, typically of a practical nature",yardım,They provided aid to the refugees.,"noun, verb","aids, aiding, aided","assistance, help","hindrance, obstruction","financial aid, humanitarian aid",khác,en
aim,Point or direct (a weapon or camera) at a target,nişan almak,He aimed at the target.,"verb, noun","aims, aiming, aimed","target, goal","neglect, ignore","aim high, aim at",khác,en
air,"The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen",hava,The air is fresh in the mountains.,noun,airs,"atmosphere, breeze",none,"fresh air, air quality",du lịch,en
aircraft,A vehicle that is able to fly by gaining support from the air,uçak,The aircraft took off smoothly.,noun,aircrafts,"plane, jet",none,"military aircraft, passenger aircraft",khác,en
airport,"A complex of runways and buildings for the takeoff, landing, and maintenance of civil aircraft",havaalanı,She waited at the airport.,noun,airports,"airfield, aerodrome",none,"international airport, busy airport",du lịch,en
alarm,An anxious awareness of danger,alarm,She felt a sense of alarm.,"noun, verb","alarms, alarming, alarmed","warning, alert","calm, composure","set off the alarm, raise the alarm",luyện trí não,en
alarmed,Experiencing a sudden sense of danger,alarma geçmiş,He was alarmed by the news.,adjective,alarmed,"frightened, scared","unconcerned, calm","feel alarmed, become alarmed",khác,en
alarming,Worrying or disturbing,alarma geçiren,The situation is alarming.,adjective,alarmingly,"disturbing, frightening","reassuring, comforting","alarming rate, alarming situation",khác,en
alcohol,"A colorless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits, and other drinks",alkol,He doesn't drink alcohol.,noun,alcohols,"ethanol, drink",none,"consume alcohol, alcohol consumption",thức ăn,en
alcoholic,Containing or relating to alcoholic liquor,alkollü,He is an alcoholic.,"adjective, noun",alcoholics,"inebriate, lush",non-alcoholic,"alcoholic drinks, alcoholic beverages",thức ăn,en
alive,"Living, not dead",canlı,The patient is still alive.,adjective,alive,"living, breathing","dead, lifeless","stay alive, keep alive",khác,en
all,Used to refer to the whole quantity or extent of a particular group or thing,hepsi,All the students passed the exam.,"determiner, pronoun, adverb",allness,"every, entire","none, nothing","all of, at all",trường học,en
allied,Joined by or relating to members of an alliance,müttefik,The allied forces launched an attack.,adjective,allies,"united, affiliated","enemy, adversary","allied forces, allied nations",khác,en
allow,Give (someone) permission to do something,izin vermek,She allowed him to leave.,verb,"allows, allowing, allowed","permit, let","forbid, prevent","allow time, allow access",khác,en
allow for,Take into consideration when making plans or calculations,göz önünde bulundurmak,We need to allow for delays.,phrasal verb,"allows for, allowing for, allowed for","consider, account for","ignore, disregard","allow for traffic, allow for error",luyện trí não,en
all right,Satisfactory but not especially good,tamam,The food was all right.,"adverb, adjective",all rightness,"okay, fine","bad, poor","all right now, feel all right",văn hóa,en
ally,A state formally cooperating with another for a military or other purpose,müttefik,The country is an ally of the US.,noun,allies,"partner, supporter","enemy, opponent","military ally, key ally",du lịch,en
almost,Very nearly but not exactly or entirely,neredeyse,She almost missed the bus.,adverb,almost,"nearly, about","exactly, completely","almost done, almost finished",du lịch,en
alone,Having no one else present; on one's own,yalnız,He lives alone.,"adjective, adverb",aloneness,"solitary, single","together, accompanied","live alone, feel alone",khác,en
along,Moving in a constant direction on (a path or any more or less horizontal surface),boyunca,They walked along the beach.,"preposition, adverb",along,"beside, alongside",none,"walk along, travel along",du lịch,en
alongside,Close to the side of; next to,yanında,The boat was docked alongside the pier.,"preposition, adverb",alongside,"next to, beside","away from, far from","work alongside, stand alongside",du lịch,en
aloud,Audibly; not silently or in a whisper,sesli,She read the letter aloud.,adverb,aloud,"audibly, loudly","silently, quietly","read aloud, laugh aloud",trường học,en
alphabet,A set of letters or symbols in a fixed order used for writing a language,alfabe,The English alphabet has 26 letters.,noun,alphabets,"letters, characters",none,"Latin alphabet, Greek alphabet",văn hóa,en
alphabetical,Arranged in the order of the letters of the alphabet,alfabetik,The books are in alphabetical order.,adjective,alphabetically,none,none,"alphabetical list, alphabetical order",trường học,en
alphabetically,In alphabetical order,alfabetik olarak,The files are sorted alphabetically.,adverb,alphabetical,none,none,"sorted alphabetically, arranged alphabetically",khác,en
already,Before or by now or the time in question,zaten,She has already finished her homework.,adverb,already,"by now, before","not yet, never","already done, already known",trường học,en
also,In addition; too,ayrıca,She is talented and also very hardworking.,adverb,also,"too, as well","neither, nor","also known as, and also",luyện trí não,en
alter,Change or cause to change in character or composition,değiştirmek,He altered his appearance.,verb,"alters, altering, altered","change, modify","keep, maintain","alter the plan, alter the dress",khác,en
alternative,Available as another possibility or choice,alternatif,There is an alternative route.,"noun, adjective",alternatives,"option, choice",none,"alternative option, alternative solution",khác,en
alternatively,As another option or possibility,alternatif olarak,You could alternatively use a different tool.,adverb,alternative,"optionally, otherwise",none,"use alternatively, consider alternatively",khác,en
although,In spite of the fact that; even though,rağmen,"Although it was raining, we went for a walk.",conjunction,although,"though, even though",none,"although difficult, although true",khác,en
altogether,Completely; totally,tamamen,She stopped seeing him altogether.,adverb,altogether,"completely, entirely","partially, incompletely","altogether different, altogether gone",khác,en
always,At all times; on all occasions,her zaman,She always arrives on time.,adverb,always,"constantly, forever","never, sometimes","always happy, always ready",khác,en
a.m.,Before noon,öğleden önce,The meeting is at 10 a.m.,abbreviation,a.m.,"morning, ante meridiem","p.m., afternoon","10 a.m., early a.m.",nghề nghiệp,en
amaze,Surprise (someone) greatly; fill with astonishment,hayran bırakmak,The performance amazed everyone.,verb,"amazes, amazing, amazed","astonish, astound","bore, disinterest","amaze people, never cease to amaze",khác,en
amazed,Greatly surprised; astonished,hayran olmuş,She was amazed by the news.,adjective,amazedly,"astonished, astounded","indifferent, unsurprised","amazed at, amazed by",khác,en
amazing,Causing great surprise or wonder; astonishing,şaşırtıcı,The view is amazing.,adjective,amazingly,"astonishing, astounding","ordinary, unremarkable","amazing experience, amazing talent",luyện trí não,en
ambition,A strong desire to do or achieve something,hırs,His ambition is to become a doctor.,noun,ambitions,"aspiration, goal","indifference, laziness","career ambition, lifelong ambition",nghề nghiệp,en
ambulance,A vehicle specially equipped for taking sick or injured people to and from the hospital,ambulans,The ambulance arrived quickly.,noun,ambulances,"emergency vehicle, medical vehicle",none,"call an ambulance, need an ambulance",khác,en
among,Situated more or less centrally in relation to (several other things),arasında,There was a big tree among the houses.,preposition,amongst,"amid, amidst","outside, separate","among friends, among the best",khác,en
amount,A quantity of something,miktar,The amount of water needed is 2 liters.,noun,amounts,"quantity, sum",none,"large amount, small amount",thức ăn,en
amount to,To total; to result in a final amount,tutmak,The total cost amounts to $100.,phrasal verb,"amounts to, amounting to, amounted to","total, come to",none,"amount to nothing, amount to a lot",nghề nghiệp,en
amuse,Cause (someone) to find something funny; entertain,eğlendirmek,The clown amused the children.,verb,"amuses, amusing, amused","entertain, delight","bore, tire","amuse the crowd, amuse greatly",khác,en
amused,Finding something funny or entertaining,eğlenmiş,She was amused by his jokes.,adjective,amusedly,"entertained, delighted","bored, uninterested","be amused, look amused",khác,en
amusing,Causing laughter or providing entertainment,eğlendirici,The movie was very amusing.,adjective,amusingly,"funny, entertaining","boring, dull","amusing story, amusing incident",văn hóa,en
analyse,Examine methodically and in detail the constitution or structure of (something),analiz etmek,They analyzed the data.,verb,"analyzes, analyzing, analyzed","examine, study","ignore, overlook","analyse data, analyse thoroughly",luyện trí não,en
analysis,Detailed examination of the elements or structure of something,analiz,The analysis revealed some interesting facts.,noun,analyses,"examination, study",none,"detailed analysis, in-depth analysis",trường học,en
ancient,Belonging to the very distant past and no longer in existence,antik,They found ancient artifacts.,adjective,anciently,"old, historic","modern, new","ancient history, ancient ruins",văn hóa,en
and,"Used to connect words of the same part of speech, clauses, or sentences",ve,She likes tea and coffee.,conjunction,and,"plus, together with",none,"and so on, and then",thức ăn,en
anger,"A strong feeling of annoyance, displeasure, or hostility",öfke,He couldn't control his anger.,noun,"angers, angering, angered","rage, fury","calm, peace","feel anger, express anger",nghề nghiệp,en
angle,The space (usually measured in degrees) between two intersecting lines or surfaces at or close to the point where they meet,açı,The angles of the triangle add up to 180 degrees.,noun,angles,"inclination, slant",none,"acute angle, right angle",trường học,en
angrily,In a manner resulting from or betraying anger,kızgın bir şekilde,She shouted angrily.,adverb,angry,"furiously, irritably","calmly, gently","speak angrily, react angrily",khác,en
angry,"Feeling or showing strong annoyance, displeasure, or hostility",kızgın,He was angry about the delay.,adjective,"angrier, angriest","mad, furious","calm, happy","angry with, angry about",nghề nghiệp,en
animal,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli",hayvan,The zoo has many animals.,noun,animals,"creature, beast",none,"wild animal, domestic animal",nghề nghiệp,en
ankle,The joint connecting the foot with the leg,ayak bileği,She twisted her ankle.,noun,ankles,"joint, hinge",none,"sprain an ankle, ankle injury",khác,en
anniversary,The date on which an event took place in a previous year,yıldönümü,Today is their wedding anniversary.,noun,anniversaries,"celebration, commemoration",none,"celebrate anniversary, anniversary gift",văn hóa,en
announce,"Make a public and typically formal declaration about a fact, occurrence, or intention",duyurmak,They announced their engagement.,verb,"announces, announcing, announced","declare, proclaim","conceal, hide","announce officially, announce plans",khác,en
annoy,Make (someone) a little angry; irritate,kızdırmak,His comments annoyed her.,verb,"annoys, annoying, annoyed","irritate, vex","delight, please","annoy greatly, annoy slightly",khác,en
annoyed,Slightly angry; irritated,kızgın,She was annoyed by the noise.,adjective,annoyingly,"irritated, vexed","pleased, content","feel annoyed, look annoyed",khác,en
annoying,Causing irritation or annoyance,sinir bozucu,The loud music was annoying.,adjective,annoyingly,"irritating, vexing","pleasing, delightful","annoying habit, annoying person",văn hóa,en
annual,Occurring once every year,yıllık,The annual meeting is in July.,adjective,annuals,"yearly, per annum",none,"annual report, annual income",nghề nghiệp,en
annually,Once a year; every year,yıllık olarak,The event is held annually.,adverb,annually,"yearly, each year",none,"celebrated annually, review annually",khác,en
another,Used to refer to an additional person or thing of the same type as one already mentioned or known,başka,She needs another pen.,"determiner, pronoun",another,"additional, one more","same, identical","another one, another example",trường học,en
answer,"A thing said, written, or done to deal with or as a reaction to a question, statement, or situation",cevap,She gave the right answer.,"noun, verb","answers, answering, answered","reply, respond","question, query","correct answer, answer quickly",trường học,en
anti-,Opposed to; against,karşı,This is an anti-war protest.,prefix,"antiwar, anticlimax","against, opposing",pro-,"anti-inflammatory, anti-aging",khác,en
anticipate,Regard as probable; expect or predict,beklemek,They anticipate a lot of rain.,verb,"anticipates, anticipating, anticipated","expect, foresee",none,"eagerly anticipate, anticipate problems",luyện trí não,en
anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome",kaygı,He felt a surge of anxiety.,noun,anxieties,"worry, concern","calm, confidence","general anxiety, cause anxiety",nghề nghiệp,en
anxious,"Experiencing worry, unease, or nervousness",endişeli,She was anxious about the test.,adjective,anxiously,"worried, uneasy","calm, relaxed","anxious about, anxious for",trường học,en
anxiously,In a manner resulting from or revealing anxiety,endişeyle,They waited anxiously for news.,adverb,anxiously,"nervously, worriedly","calmly, confidently","wait anxiously, look anxiously",khác,en
any,"Used to refer to one or some of a thing or number of things, no matter how much or many",herhangi bir,Is there any milk left?,"determiner, pronoun, adverb","anyway, anyhow","some, any",none,"any time, any day",thức ăn,en
anybody,Any person; anyone,herhangi biri,Anybody can join the club.,pronoun,anybody,"anyone, everyone","nobody, no one","anybody else, anybody interested",khác,en
anyone,Any person; anybody,herhangi biri,Does anyone know the answer?,pronoun,anyone,"anybody, everyone","nobody, no one","anyone else, anyone who",trường học,en
anything,"Used to refer to a thing, no matter what",herhangi bir şey,She will do anything for her children.,pronoun,anything,"something, whatever","nothing, none","do anything, anything else",khác,en
anyway,Used to confirm or support a point or idea just mentioned,zaten,"It's cold outside, but I'm going anyway.",adverb,anyway,"nonetheless, nevertheless",none,"anyway, I think, but anyway",luyện trí não,en
anywhere,In or to any place,herhangi bir yerde,You can find this product anywhere.,adverb,anywhere,"everywhere, wherever",nowhere,"find anywhere, go anywhere",nghề nghiệp,en
apart,To one side; at a distance from the main body,ayrı,He stood apart from the group.,"adverb, adjective",apartness,"separately, aside","together, joined","stand apart, set apart",khác,en
apart from,Except for; other than,hariç,"Apart from the weather, the trip was great.",preposition,apart from,"except, besides","including, with","apart from that, apart from this",du lịch,en
apartment,"A set of rooms forming an individual residence, typically on one floor and within a larger building",apartman,She lives in an apartment downtown.,noun,apartments,"flat, condo","house, villa","luxury apartment, rent an apartment",khác,en
apologize,Express regret for something that one has done wrong,özür dilemek,I apologize for the mistake.,verb,"apologizes, apologizing, apologized","say sorry, express regret",none,"apologize for, apologize to",trường học,en
apparent,Clearly visible or understood; obvious,bariz,It was apparent that she was upset.,adjective,apparently,"obvious, evident","hidden, unclear","become apparent, make apparent",khác,en
apparently,As far as one knows or can see,görünüşe göre,"Apparently, it is going to rain today.",adverb,apparent,"seemingly, evidently",none,"apparently true, apparently due",khác,en
appeal,"Make a serious or urgent request, typically to the public",başvurmak,They made an appeal for donations.,"noun, verb","appeals, appealing, appealed","plea, request",none,"appeal to, appeal for",khác,en
